Date,Open,High,Low,Close,Adj Close,Volume
2019-09-18,135.809998,136.000000,134.100006,135.500000,132.625610,2647800
2019-09-19,135.410004,135.839996,135.080002,135.479996,132.606033,2804500
2019-09-20,135.000000,135.759995,134.479996,134.710007,131.852371,6671100
2019-09-23,134.960007,135.750000,134.960007,135.440002,132.566895,3346500
2019-09-24,136.250000,136.449997,134.580002,135.360001,132.488602,4798500
2019-09-25,135.210007,135.660004,134.509995,135.089996,132.224319,3579500
2019-09-26,135.869995,136.330002,135.009995,135.720001,132.840942,4309600
2019-09-27,136.240005,136.240005,134.669998,135.600006,132.723495,3559400
2019-09-30,136.070007,137.729996,135.869995,137.100006,134.191666,3705200
2019-10-01,136.929993,137.940002,136.089996,137.369995,134.455933,3638900
2019-10-02,136.889999,137.380005,133.490005,133.940002,131.098709,5728600
2019-10-03,138.440002,139.750000,136.500000,137.929993,135.004059,8829700
2019-10-04,137.839996,140.449997,137.619995,140.279999,137.304214,5278700
2019-10-07,139.289993,139.610001,137.970001,138.339996,135.405365,4273300
2019-10-08,137.649994,138.449997,137.080002,137.240005,134.328720,4074900
2019-10-09,137.320007,138.169998,136.830002,137.850006,134.925766,3065300
2019-10-10,137.110001,138.250000,136.639999,137.889999,134.964905,2191000
2019-10-11,138.080002,138.699997,137.089996,137.639999,134.720215,2761400
2019-10-14,137.839996,138.300003,137.240005,137.449997,134.534256,2371500
2019-10-15,137.479996,137.949997,136.160004,136.330002,133.438004,3369300
2019-10-16,136.139999,136.490005,135.580002,136.419998,133.526093,2812000
2019-10-17,137.070007,137.619995,136.600006,136.960007,134.054657,2322500
2019-10-18,137.270004,137.369995,136.229996,136.250000,133.359711,3630400
2019-10-21,136.339996,136.740005,135.660004,136.119995,133.232468,2829400
2019-10-22,136.649994,137.350006,136.309998,136.660004,133.761017,3248100
2019-10-23,136.610001,137.500000,136.610001,137.449997,134.534256,2323600
2019-10-24,137.699997,138.110001,136.789993,137.889999,134.964905,2292500
2019-10-25,137.779999,137.919998,136.229996,136.639999,133.741425,2520000
2019-10-28,136.550003,137.550003,136.149994,136.570007,133.672928,3212600
2019-10-29,136.830002,137.119995,135.940002,136.080002,133.193314,2550100
2019-10-30,135.860001,137.289993,135.410004,136.899994,133.995926,2653400
2019-10-31,136.800003,137.529999,136.100006,137.169998,134.260178,4492300
2019-11-01,137.550003,138.339996,136.699997,136.929993,134.025284,3054900
2019-11-04,136.800003,137.100006,134.729996,135.160004,132.292831,3202400
2019-11-05,134.830002,135.100006,132.600006,134.009995,131.167221,4300800
2019-11-06,134.500000,134.880005,133.550003,134.440002,131.588104,3645600
2019-11-07,134.410004,134.500000,133.119995,133.320007,130.491852,3338700
2019-11-08,133.289993,134.130005,132.570007,133.130005,130.305893,2604000
2019-11-11,133.029999,133.029999,131.970001,132.389999,129.581573,2227200
2019-11-12,132.679993,132.679993,131.589996,131.979996,129.180283,3246500
2019-11-13,132.630005,133.570007,132.009995,133.289993,130.462479,3166600
2019-11-14,133.600006,133.910004,132.729996,133.330002,130.501648,2141900
2019-11-15,133.660004,133.919998,132.800003,133.809998,130.971466,3648700
2019-11-18,134.000000,135.690002,133.910004,134.059998,131.216156,3619700
2019-11-19,134.649994,135.059998,134.070007,134.570007,131.715363,3019100
2019-11-20,134.309998,135.199997,133.399994,133.740005,130.902969,3047700
2019-11-21,133.429993,134.210007,133.089996,133.910004,131.069336,3391200
2019-11-22,133.919998,134.529999,133.020004,134.070007,131.225967,3014900
